,Macro F-measure,CHI,FEM,KCHI,MAL,SPEECH
,%,,,,,
item,,,,,,
test/paido_e2bt23f121,92.01758799311014,1.0,1.0,0.6283227955673413,1.0,0.9725566040881657
test/paido_e3at02m212,91.37837850088572,1.0,1.0,0.5906590047683083,1.0,0.9782599202759775
test/paido_e3at04f111,89.4136391198308,1.0,1.0,0.5056982648824792,1.0,0.9649836911090606
test/paido_e3at05m222,53.70201880402842,0.0,0.0,0.715673820875334,1.0,0.969427119326087
test/paido_e3bt17m122,93.03369392628173,1.0,1.0,0.6776671205688899,1.0,0.9740175757451963
test/paido_e3bt23f112,73.87708174981624,1.0,0.0,0.7281308535272355,1.0,0.9657232339635767
test/paido_e3bt24f221,90.34030052247616,1.0,1.0,0.5447823227999651,1.0,0.9722327033238429
test/paido_e3bt24f222,91.108440003326,1.0,1.0,0.5851488993848591,1.0,0.9702731007814406
test/paido_e4at03f321,90.36466854807269,1.0,1.0,0.5479344356029932,1.0,0.9702989918006415
test/paido_e4at03f322,90.50801053892734,1.0,1.0,0.555431695729489,1.0,0.9699688312168776
test/paido_e4at04m122,91.7975152370383,1.0,1.0,0.6357247875601183,1.0,0.9541509742917965
test/paido_e4at11m222,91.58219481076281,1.0,1.0,0.6113830941758085,1.0,0.9677266463623323
test/paido_e4at12f111,88.96114439004762,1.0,1.0,0.4672937389880826,1.0,0.9807634805142991
test/paido_e4bt25m322,93.39133220393612,1.0,1.0,0.7020608644277827,1.0,0.9675057457690228
test/paido_e5at02f121,90.92000827079805,1.0,1.0,0.5740058195926283,1.0,0.971994593947274
test/paido_e5at02f122,89.96379591921435,1.0,1.0,0.5250955559358776,1.0,0.9730942400248404
test/paido_e5at03m112,51.114070995247154,0.0,0.0,0.60966360856269,1.0,0.9460399411996679
test/paido_e5at04f311,93.0569519402448,1.0,1.0,0.6786594979180973,1.0,0.974188099094143
test/paido_e5at05m221,95.85620219544367,1.0,1.0,0.8300227473897631,1.0,0.9627873623824201
test/paido_e5at06f221,93.38765197774421,1.0,1.0,0.7006643964470259,1.0,0.9687182024401841
test/paido_e5at08f321,92.33997760089926,1.0,1.0,0.6399724687017513,1.0,0.9770264113432111
test/paido_e5at13m121,95.72536010638778,1.0,1.0,0.8321389872795315,1.0,0.9541290180398577
test/paido_e5bt21m321,98.15029428874628,1.0,1.0,0.9418212537788598,1.0,0.9656934606584541
test/paido_e5bt23f112,90.88781289200354,1.0,1.0,0.5783054442611354,1.0,0.9660852003390413
test/paido_g2at01f112,95.20450706702847,1.0,1.0,0.7845977034874874,1.0,0.9756276498639359
test/paido_g2at03f222,93.76553642122258,1.0,1.0,0.709764939773125,1.0,0.9785118812880031
test/paido_g2at07m311,93.06038633062606,1.0,1.0,0.6788779267062348,1.0,0.974141389825068
test/paido_g2bt14m212,91.87075439210795,1.0,1.0,0.6166473891776654,1.0,0.976890330427732
test/paido_g2bt16m121,95.39201690202,1.0,1.0,0.8034554173983572,1.0,0.9661454277026431
test/paido_g2bt16m122,94.73870452082203,1.0,1.0,0.7798700935550096,1.0,0.9570651324860918
test/paido_g2bt17f222,91.39896515817728,1.0,1.0,0.5961114807422209,1.0,0.9738367771666432
test/paido_g2bt18f122,74.76585089930505,1.0,0.0,0.7646541359997645,1.0,0.9736384089654881
test/paido_g2bt23m221,92.01294538362467,1.0,1.0,0.6278639045136508,1.0,0.9727833646675829
test/paido_g3at01m221,90.23433274007164,1.0,1.0,0.5405818724356594,1.0,0.9711347645679228
test/paido_g3at08m222,92.22550963743149,1.0,1.0,0.6355353075170815,1.0,0.9757401743544922
test/paido_g3at10f122,91.01973422442781,1.0,1.0,0.5732300233988612,1.0,0.9777566878225292
